CreditUnion,Link,Rates(30Years),BestRate
ACT 1st Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=19A8538A-275B-48C3-B178-135960E426A5,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|5/5 Year ARM-5.250%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
Advantage Financial Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=89A7CB7E-CA50-420E-A902-A60DF2A870BD,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-5.000%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
AFLCIO Employees Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C1F6DBB4-762D-4B27-9741-459D6025E2B2,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Agriculture Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=6E5CC923-F933-40CA-B1B0-A20A68D95F94,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
American Partners Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=35C5411C-7A2C-4B22-BD97-02FC6D8A5BCE,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Andrews Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=62164F8D-49F1-47B5-895E-4C4F7558EF83,FHA 30-Year Fixed-5.375%|VA 30 Year Fixed-5.500%,FHA 30-Year Fixed-5.375%
APCI Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F4E0E245-3E84-414B-82ED-D879425EE640,30 Year Fixed-5.875%|20 Year Fixed-5.625%|15 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.625%|Jumbo 15 Year Fixed-7.000%,15 Year Fixed-5.375%
APL Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C9796FA5-9A5E-4F21-824D-F88F5CF17F28,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|5/5 Year ARM-5.500%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-5.250%
APL Federal Credit Union Home Equity,https://mortgages.cumortgage.net/default.asp?siteId=432AF8BF-268B-4EE9-985E-849DC58D73EF,None,None
Apple Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=3A1B0044-C042-4C1D-ADC6-984B4E4AE66E,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Arlington Community Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=EFE2F354-28CC-4C97-9690-04B28CE15AD7,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Autotruck Financial Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=A7FC4327-2340-45D1-AF41-4127E7EB9BEA,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-4.750%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
Beach Municipal Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=254A10C8-8BC6-48BE-B89D-C1ADA101EB65,30 Year Fixed-5.750%|20 Year Fixed-5.500%|7/1 Year ARM-5.875%|5/1 Year ARM-5.875%|3/1 Year ARM-7.875%,20 Year Fixed-5.500%
Blackstone River Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=70B8287F-21B7-4EA5-B48B-0F21609154B5,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Bragg Mutual Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=61976FE1-B5E2-4F2A-A159-9385FC8A3A2A,5/1 Year ARM-5.875%|30 Year Fixed-5.750%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
BrownForman Employees Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=6CC9B22B-FD9B-47BB-BF8C-98123B2BA5BD,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Canandaigua Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=BA4B8C2F-8B87-4326-B309-19B7801636EE,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Census Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=652FCC4F-51F6-4674-92E7-D6C19F1EFC02,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Chessie Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=B7F133AA-1CD3-4152-849C-9A4B370F9A98,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Civic FCU Employees Only,https://mortgages.cumortgage.net/default.asp?siteId=2A907B66-4776-41AA-9272-79894AB26397,30 Year Fixed-5.750%|30 Year Fixed - 3% Down Pmt-6.125%|15 Year Fixed-5.250%|10/1 Year ARM-6.000%|5/1 Year ARM-5.875%,15 Year Fixed-5.250%
Civic Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=4087C423-821C-451F-92DD-EE5E931B7E99,30 Year Fixed-5.750%|15 Year Fixed-5.250%|10/1 Year ARM-6.000%|5/1 Year ARM-5.875%,15 Year Fixed-5.250%
Credit Union Employees Only,https://mortgages.cumortgage.net/default.asp?siteId=9D872503-B0A8-4552-9749-425F3197E743,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Credit Union Mortgage,https://mortgages.cumortgage.net/default.asp?siteId=2B8C95D8-7B93-4949-BF83-DBAD2514C6CB,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Credit Union Mortgage  Retail,https://mortgages.cumortgage.net/default.asp?siteId=C0914E58-C400-4F9B-B78C-C41C5A04E17A,15/15 ARM 1-5.125%|30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%,15 Year Fixed-4.750%
CUMA Employees Only,https://mortgages.cumortgage.net/default.asp?siteId=0FB50884-39D7-4F58-B428-F48302A5DBC2,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
CUMALSI,https://mortgages.cumortgage.net/default.asp?siteId=E415A428-4A9A-4C53-B75A-3B14E5C117C0,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Dakota Plains Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=24913549-04D0-4A65-8FA8-FD788A533FC4,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
DC Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=AA35CE55-E768-48F1-A3CD-9407521E7CA6,30 Year Fixed-5.750%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|5/5 Year ARM-5.250%|7/1 Year ARM-5.250%,15 Year Fixed-4.750%
Democracy Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=671706E8-76E9-45CB-AC00-DB9F7A50FD77,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Destinations Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=A7476438-8CE5-4015-A01E-5A027FA6957D,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-4.750%|5/5 ARM-5.250%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
EP Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F5855795-99A7-4FFC-8B96-7408D2340B5E,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|7/1 Year ARM-5.875%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-5.250%
F R B Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=762E3A02-114D-48C2-95E3-2069380F6125,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
FAA Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=0B09E938-2D30-4482-87C4-F0B636AB737D,30 Year Fixed-5.750%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|10/1 Year ARM-5.625%|7/1 Year ARM-5.250%,15 Year Fixed-4.750%
FedChoice Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=493F19CB-9B4C-4F01-8807-241987166E35,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Fieldstone Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=85FD3DC2-B23A-4F65-A6D5-88B4748F8748,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Firefighters First Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=3799D442-E132-494D-9271-CAF0F83DCD70,30 Year Fixed-6.125%|20 Yr. Fixed-5.625%|5/5 ARM-5.750%|10 Yr. Fixed-5.375%|15 Yr. Fixed-5.500%,10 Yr. Fixed-5.375%
First American Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F3626724-9BF4-401B-B07F-10A1078C9D9A,30 Year Fixed-5.375%|20 Year Fixed-5.125%|15 Year Fixed-4.875%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.875%
First Eagle Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=8B3C5791-C16C-4B47-84A5-3F865802AECB,30 Year Fixed-5.625%|20 Year Fixed-5.500%|15 Year Fixed-5.000%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.000%
Five Star of Maryland Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C529D915-8CB6-4462-9233-604B6DF3CB59,20 Year Fixed.-5.250%|15 Year Fixed.-4.750%|FHA 30-Year Fixed-5.375%|VA 30 Year Fixed-5.500%,15 Year Fixed.-4.750%
